file_name,transcript,label
eng1,"Now let me tell you, we all have heard something about stubborn hearts. Stubborn hearts always find their way, but have you noticed where that journey began from? Let me take you back to 2004 to a 9-year-old child who was madly in love with ice creams. She used to love ice creams every single day and a specific one chocolate feast until one day her mother told We cannot buy ice creams for you now. You have to buy it for your own self. And for that girl, the world shattered because for her, the only world consists of ice creams and that was her own world.",storytelling
eng10,"What is it? Is it the tune? Is it the set of musical notes used? Now in India, we are told that, you know, learn English, learn English because it's a relatively global language and wherever you go, you'll be able to communicate. True that. So I'll take the example of English to demonstrate my point. D A U G H T E R. This word. It's made up of letters, set of letters. Give it to an Indian and they would pronounce it as daughter. Give it to someone in America and the American pronunciation would probably be Daughter. Give it to someone in Britain and the pronunciation would be Daughter. Right? The same language, the same word, the same set of letters. But what made the difference?",educational
eng11,"The Gita tells us that the soul is bound to live through several lifetimes before it comes to the end of its journey. Perhaps that's why Indians don't place so high a premium on punctuality. So many lifetimes, so much time. And that's why the Gita is also the insider's guide to the Indian mind. Do you seek contentment? There's an app for that, and you can find it in the Gita. So what does the Gita say about contentment? How can you find it? You must put everything you have into everything you do, says the Gita, but There is no bigger fool than you if you imagine that just because you put your best effort, the outcome will be something that you desire. Understand, says the Gita, that Some things lie within your control like your effort, but some things most certainly do not, like the outcome. Therefore, focus on your effort, let go of the outcome. In other words, play to play, don't play to win. If that doesn't make the Gita a killer app for contentment, I don't know what does.",motivational
eng12,"The universe, says the Gita, gives us so many things for free, the life-giving sun, the nourishing rain, the fertile earth. We would be nothing more than common thieves if we did not give back in equal measure. And how do you give back in equal measure? Simply by doing your own duties well to the best of your abilities. Simply by shouldering your own responsibilities as parents, teachers, students, doctors, priests, lawyers with a smile and doing your every action with an attitude of gratitude. Only if you do that, says the Gita, is the ancient cycle of give and take between gods and men kept in motion, and only if that cycle is kept in motion, will the world not descend into chaos. Did someone say Adam Smith?",motivational
eng13,"Now, what is wisdom? What is the ideal man, human being supposed to be like? What should you aspire for if you want to be like the ideal person? According to the Gita, it's very simple, there's a recipe. When you see the world as it really is, then you have attained the status of the ideal human. And what does that mean? It means you see a bit of yourself in everything around you and a bit of everything around you in yourself. It means you're able to look beyond the differences on the outside to the sameness on the inside. It means you're able to say with conviction that the entire world is my home and every creature in it my family. This makes the Gita the ultimate equal rights manifesto, one that not just individuals but governments would do well to adopt in our divisive intolerant times.",educational
eng14,"The Mahabharata, all 100,000 verses of it, I believe, was expressly written to contain the 700 verses of the Gita, just as a tree creates a juicy fruit to household, protect, and disperse its seed. The storyteller of the Mahabharata sets up this grand canvas, paints an engaging narrative, populates it with the most memorable characters, brings us to the brink of a great war, and then, wham, introduces the 700 verses of the Gita. If you want to know how the war went, you have no choice but to plow through the 700 verses of high philosophy that the Gita is, which makes the Gita a great how-to guide for teachers wishing to teach a complicated subject to reluctant students.",opinion
eng15,"In, uh, in Eastern thought, the notion of time is that of a cycle, not it's not linear, time is cyclical. And therefore, the climax in our stories arrives in the middle of the story, not at the end. The Gita is no different. Just when you reach about chapter 10, there are 18 chapters in all, and the philosophy begins to get a little overwhelming, a new twist is introduced into the tale. We are told that Krishna is not who we have believed all along. In chapter 11, it is followed by drama and spectacle with Krishna revealing his cosmic Vishwaroopa form. Our attentions have been recaptured and we remain vested for the next 7 chapters. If you were looking for a guide on how to write a riveting bestseller, you need to look no further than the Gita.",educational
eng16,"So when these 100 men are lined up and they're looking to the right and they're left, they know that out of the 100 here who begin the assault, only a handful will see the end of that day. Most of them would be dead and many of them would be worse than dead, handicapped, amputees. And yet, they will write their last letters to their families, to their parents, to their unborn children at times. They will heft their battle packs, cock up their rifles.",storytelling
eng17,"If you Google the meaning of confidence, you'll find that it comes from a Latin word called confidre, which means to trust. So when you talk about self-confidence, you're talking about trusting yourself. But what happens when you don't have self-confidence or when you can't trust yourself? Doesn't the latter sound much worse than just saying, oh, I don't have confidence? Unfortunately, that is the reality for a lot of people.",educational
eng18,"When my parents look back at my childhood, they always describe my sister as the mischievous one or the troublemaker of the family, and they always describe me as the shant child of the family. But I don't know when this shant, shy girl turned into a scared and anxious girl. I am one of those many people who get scared to do basic normal everyday things. Like, um, if I'm at a restaurant, I used to get scared to order for a glass of water and let alone food, ordering food was like something out of a nightmare for me. So I would always ask my friends to do it. I hate answering phone calls. I don't. If I see an unknown number flashing on my phone, I'm just like, not happening. You gotta text me, I'm not gonna answer that call. And if I knew the answer in class, I would never put my hand up and answer because of the ever present self-doubt that whatever I know is wrong.",storytelling
eng19,"Then I entered junior college. Uh, it was a new place, new people, new friends. So I somehow gathered the courage to put my name down to participate in the fashion show. And I think that is where it all started. Just it was something very minor, you know, just putting my name down in the list for participating in the fashion show. But that ignited a confidence in me and made me realize that hey, I really do love this world of fashion and glamour. So after I got out of junior college, I did something I never thought I would do. I was scrolling on Facebook. And I saw this advertisement for a pageant called Style Diva that was being conducted by one of India's leading magazine. So without thinking, without even telling my parents, I gathered some of my pictures and I mailed it to them. Mailing them those pictures was probably the best decision I ever made.",storytelling
eng2,"For me, my freedom is very important. And then my boyfriend told me, ex-boyfriend told me, then Arushi, you are beautiful, you are intelligent, but I cannot let you work anymore. This cannot be done. You have to take permissions for this, permissions for that. I'll provide you with all the luxuries of your life. Now you have to do what I want you to do. I said wait, wait. This is not the life which is given to me. I have to build my own life. So I stepped from that relationship and I asked my best friend Akanksha.",storytelling
